Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
6SdfqTYPviQ,"1,000 Years of Ukraine: The History Putin Erased","Jul 10, 2025",595,75,3.1731,4,1414,3.39
L5ZIP24-36s,Iran vs the CIA. Two Coups the West Wants You to Forget,"Jan 27, 2026",1216,42,3.0775,1,1266,1.82
2RQWu-cyO90,Was Lagertha Real? DNA Says Female Viking Warriors Existed,"Oct 24, 2025",606,55,2.6001,1,1573,2.29
XKAqt_ZLHGo,Why Egypt and Sudan Both Reject Bir Tawil,"Dec 11, 2025",534,80,2.5574,0,2462,2.36
499YLd1BHZ4,Putin Says NATO Promised Not to Expand. The Documents Disagree.,"Sep 10, 2025",342,52,2.1946,3,1342,2.61
rbsdtveYvv0,The Spanish Inquisition Documented Its Torture Methods. Most People Skip the Documents,"May 14, 2026",469,53,2.1261,0,2258,1.82
ZZz_g_Ov6Lg,"Britain Expelled 2,000 Islanders. The Memo Proves It","Jan 8, 2026",637,29,1.5594,0,781,2.05
TYNaIu28LeU,3 Men Signed 1 Document. The Soviet Union Ceased to Exist,"Jan 29, 2026",291,41,1.2914,0,2739,0.95
Q5Pfv_dPubU,The CIA Document That Proved Operation Condor,"Feb 12, 2026",287,52,1.2484,0,2222,1.53
jLZngVFKWVg,Why France’s 60-Year African Empire Collapsed in Months,"Oct 1, 2025",812,32,1.2103,1,1157,1.82
xODFE2Pyubo,38 Dead Over 4.6 Square Kilometers. Both Sides Blame One Map,"Oct 3, 2025",442,33,0.9585,0,807,2.48
MXvTuHXSf3o,Nigeria vs Cameroon. The Court Chose Paper Over People,"Apr 16, 2026",683,20,0.877,0,669,1.49
71xY0Pt4T-M,Putin Invaded Georgia Before Ukraine. Nobody Stopped Him,"Jul 16, 2025",360,36,0.8674,0,899,3.11
yMAWJcjo_ug,Debunking Begins! Why I Started ‘History vs Hype’,"Jun 27, 2025",478,22,0.8434,1,214,7.48
mg6ujk6rDVE,The $24 Manhattan Myth: A 19th-Century Fraud,"May 8, 2026",601,18,0.8115,0,1727,0.46
P6yalauLDic,The $22 Billion Map Error: Why Mexico’s Island Vanished,"Feb 19, 2026",495,13,0.5792,0,459,0.87
