video_id,title,published,duration,duration_sec,views,watch_time_hours,avg_view_percentage,avg_view_duration,avg_view_duration_sec,ctr_percent,impressions,likes,dislikes,comments,shares,subscribers_gained,subscribers_lost,engagement_rate,subs_per_100_views,like_rate
2RQWu-cyO90,Was Lagertha Real? DNA Says Female Viking Warriors Existed,2025-10-24,10:06,606,43,2.2,30.2,3:02,182,2.26,1194,2,0,0,0,1,0,4.65,2.33,4.65
yMAWJcjo_ug,Debunking Begins! Why I Started ‘History vs Hype’,2025-06-27,7:58,478,40,1.4,25.6,2:02,122,8.4,250,5,0,3,0,2,0,20.0,5.0,12.5
HtVIC4dS0e8,Iran Wrote a Democratic Constitution. Then Deleted It.,2026-02-05,13:44,824,39,2.5,28.1,3:51,231,2.37,1474,0,0,0,0,0,0,0.0,0.0,0.0
71xY0Pt4T-M,The Georgia Playbook: How 2008 Predicted Ukraine,2025-07-16,6:00,360,38,0.9,23.5,1:24,84,3.18,881,2,1,1,0,0,0,7.89,0.0,5.26
jLZngVFKWVg,How 3 Coups Ended 60 Years of French Control in Africa,2025-10-01,13:32,812,27,1.0,16.8,2:16,136,1.89,1060,1,0,1,1,1,0,7.41,3.7,3.7
ZZz_g_Ov6Lg,"""Leave or Starve"": The Secret Memo That Emptied an Island",2026-01-08,10:37,637,26,1.5,33.2,3:31,211,2.35,596,0,0,0,0,0,0,0.0,0.0,0.0
xODFE2Pyubo,The 1908 Map Error Behind the Thailand-Cambodia Border Conflict,2025-10-03,7:22,442,26,0.9,27.1,2:00,120,2.28,657,1,0,0,0,0,0,3.85,0.0,3.85
L5ZIP24-36s,The 1953 Myth: Iran’s First Coup Happened in 1911,2026-01-27,20:16,1216,25,1.7,20.0,4:03,243,1.28,857,0,0,2,0,1,0,8.0,4.0,0.0
TYNaIu28LeU,The 1922 Treaty Loophole That Ended the USSR,2026-01-29,4:51,291,23,0.5,24.6,1:11,71,0.66,2260,2,1,0,0,0,0,8.7,0.0,8.7
Q5Pfv_dPubU,The CIA Document That Proved Operation Condor,2026-02-12,4:47,287,0,0.0,0.0,0:00,0,0,16,0,0,0,0,0,0,0.0,0.0,0.0
