Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
AgOdfPEgmhg,Why Empires Always End in Bloodshed,"Aug 3, 2025",64,629,1.7494,0,68,5.88
PAmchHrrws8,Why Building Walls Won't Fix the Economy,"Aug 8, 2025",47,628,2.5632,1,56,0
kY1LsDd09rc,Did Vikings Have Female Commanders?,"Oct 24, 2025",92,626,10.4977,2,438,0.91
6axS1vEpIIE,Why Did Countries Change Their Minds About Genocide? #history,"Sep 8, 2025",93,621,3.9087,2,147,2.72
1QPFq2vYf_w,What REALLY Causes Military Coups in 9 African Countries Since 2021?,"Oct 1, 2025",50,619,2.8295,0,239,0
sjy8WSaES-Q,Britain Took 90% of Venezuela Territory,"Oct 21, 2025",54,610,2.6428,0,239,3.77
jKOhdZhN_KQ,The 1899 Fraud Venezuela Still Teaches in Schools Today,"Oct 24, 2025",64,607,3.2521,0,151,2.65
qg87tlmEL0g,The Truth About Armenian Relocations Revealed! #history,"Sep 7, 2025",36,600,0.7844,0,127,3.15
wCFReiCGiks,"Cyprus: The 2,000 Missing and the Lost Churches","Sep 26, 2025",58,596,0.906,0,133,4.51
taDt_r5Q-O4,Why Did China Change Its Famous Map? #history,"Aug 21, 2025",43,588,1.1721,0,533,0.19
7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,586,35.7469,10,10653,3.75
EjluIptpkQg,KASHMIR 1949 The WAR that Changed Everything,"Aug 17, 2025",60,586,2.6741,1,90,3.33
cQK-wlo7DbI,Taiwan's Surprising History Revealed! #history,"Aug 26, 2025",41,581,1.0646,0,148,1.35
URwHq2tzTkM,How Haiti Ended Slavery Before Europe,"Nov 4, 2025",82,556,4.8269,5,184,1.63
7a14a4WLLPU,How Lagertha the Viking Warrior Tested Ragnar Lothbrok,"Oct 25, 2025",98,548,0.7992,0,177,0
4J2bwOZbIzk,The Secret History Behind Israel’s Diverse Population #history,"Aug 6, 2025",74,542,3.1254,0,100,4
mCa2GyAqoCE,Expert Historians Expose Turkey's Darkest Secret #historicalmyths,"Sep 1, 2025",113,452,2.5118,0,479,2.09
XL1v97y1tQA,Why Collective Punishment Is Never Okay #facts #history,"Sep 9, 2025",40,431,0.3597,0,91,1.1
5s_qIszixr8,How Cyprus Was Divided in Just 5 Days #history,"Aug 30, 2025",118,377,1.4673,0,963,0.73
Hnh2F29Kk7g,Turkey vs Greece: The 1974 Cyprus Plan to Eliminate Turks,"Sep 27, 2025",69,370,1.5508,0,1140,2.19
MvzL8Seu0AE,The Man Who Changed History Books Forever #history,"Sep 10, 2025",37,368,0.4963,0,120,4.17
X3J03cBjTn8,KGB Secrets: How Israel’s History Was Changed by Soviet Spies,"Sep 27, 2025",32,363,1.0453,1,499,1.8
vI8kbPlH4rk,Guatemala's Missing Coastline: The Belize Problem,"Oct 30, 2025",119,352,0.9372,0,255,2.35
ioEyVqNah1A,How Soviet Tricks Still Fool Us Today,"Sep 26, 2025",39,333,0.7413,2,103,0.97
QF2Rmm98O2s,How Statues Changed the Course of History,"Jul 20, 2025",33,329,0.3349,0,123,0
iAbH351Bn-M,Governments Need This Border War. Farmers Living There Don't.,"Oct 7, 2025",51,328,0.4163,0,82,0
XLPTOCOYM_U,Africa's Military Coups: Solution or Disaster?,"Oct 3, 2025",62,314,0.3543,0,152,1.97
zQQKrbJilPI,Young Cypriots Are Defying 50 Years of Division,"Sep 28, 2025",55,314,0.7908,0,232,5.17
8u2Esk7j2CU,Why Is This City Still Divided in 2025?,"Sep 24, 2025",59,295,1.1626,0,271,2.58
RHMARs2OemI,Belize vs Guatemala: The Border That Split a People,"Oct 28, 2025",111,288,1.4057,0,253,3.95
BcTmT_UN6hg,Guatemala vs Belize: The 1859 Treaty Dispute Explained,"Nov 1, 2025",39,267,0.6724,0,159,2.52
PezRxZz5sA8,US Secret Role in Cyprus 1974 Crisis Revealed #history,"Sep 22, 2025",52,267,1.4422,0,308,0.65
0jREGVY0_Jc,Why Africa is Expelling France,"Oct 1, 2025",76,250,0.5372,0,280,2.5
LCze9B2xpOI,The SHOCKING Truth About China's TAIWAN History,"Aug 23, 2025",575,248,10.44,2,7105,2.67
Y21EjQ0v9W4,The Country That Might Disappear: Guatemala vs Belize,"Oct 27, 2025",657,243,12.3897,3,3909,5.17
RViJoCi6ZnM,What's Really Behind Kashmir's Centuries of Turmoil? #history,"Aug 18, 2025",32,241,0.325,0,200,3.5
KKYkahdst54,Why WATERWAY Disputes Are a BIGGER Deal Than You Think #history,"Aug 25, 2025",74,240,0.307,0,164,0.61
O6O45uYbPbY,"Russian Myths About Ukraine, Explained","Jul 12, 2025",53,232,0.4185,1,259,2.7
Ns3wii1u73k,Why Did Kosovo's Story Get Twisted? #history,"Sep 22, 2025",81,230,0.9658,0,440,0.45
1NL_j8KbB4c,Did Putin Accidentally Make NATO Bigger? #news #history,"Sep 13, 2025",51,228,0.2756,0,36,2.78
xmayJ7_dLmc,How Unfair Rules Changed Lives Forever #history,"Aug 19, 2025",42,228,0.481,0,74,1.35
lPilDVSAeEM,I Investigated the SHOCKING Sale of Kashmir and Here's What I Found!,"Aug 14, 2025",629,220,7.5635,2,5429,3.22
KVSfH-ygVqs,Why Ukraine's Choice Terrifies Putin #history,"Sep 11, 2025",58,216,0.3554,0,61,6.56
ZKnyMOxtFNE,What Ancient Artifacts Tell Us About Israel’s Past! #history,"Aug 5, 2025",81,213,0.7834,0,74,2.7
QoCanXzwsUs,Why Is Cyprus Still Divided in 2025? #history,"Sep 23, 2025",110,188,0.3147,0,365,2.47
G1d4lnhyxYw,Cambodia Gets New Leader. Thailand Escalates Border War.,"Oct 8, 2025",41,163,0.2098,0,364,2.75
yV4bIhVQlqk,Protectionism's DARK SECRET Revealed Smoot-Hawley Act's Shocking Truth,"Aug 13, 2025",40,163,0.2569,0,40,2.5
JQm3IcEMxq4,Stalin's Dark Legacy: The Consequences of His Reign,"Jul 19, 2025",56,155,0.1579,0,335,0
UH2PddfaaR8,How the KGB Weaponized Palestinian Resistance,"Sep 25, 2025",606,148,10.5064,5,2618,3.55
pZH1r2NC_SQ,France Still Controls 14 African Countries' Money. In 2025,"Oct 6, 2025",39,139,0.223,0,387,1.29
BL6TSpsmbvQ,How Did Kids Become Soldiers? #history,"Sep 12, 2025",32,130,0.1135,0,157,1.27
CQhE4w95iTE,Why Georgia and Abkhazia Hate Each Other,"Jul 17, 2025",51,128,0.3147,0,1347,1.48
Yx5oywZs-rk,How Did Stalin Get Away With So Much?,"Jul 19, 2025",602,117,7.3126,4,5414,1.57
nf42riJ3lis,How ExxonMobil Turned Guyana Into an Oil Superpower Venezuela Wants,"Oct 25, 2025",34,113,0.1456,0,182,4.4
